INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
225168413,03/04/2021,22:37:00,BROOKLYN,83,0,,false,,,,<18,M,BLACK,"1,011,259","187,276",40.68067313100005,-73.90262297199997,POINT (-73.90262297199997 40.68067313100005)
228918111,05/31/2021,19:50:00,BROOKLYN,83,0,,false,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,009,422","191,993",40.69362562500004,-73.90922848099996,POINT (-73.90922848099996 40.69362562500004)
227987578,05/10/2021,23:32:00,BROOKLYN,75,0,,true,<18,F,BLACK,18-24,M,BLACK,"1,017,706","181,650",40.665209017000045,-73.87940685599993,POINT (-73.87940685599993 40.665209017000045)
226762827,04/10/2021,02:40:00,BROOKLYN,79,0,,false,,,,25-44,M,BLACK,"999,510","186,800",40.67939467000008,-73.94498397699994,POINT (-73.94498397699994 40.67939467000008)
236925858,11/24/2021,20:03:00,BRONX,48,0,,false,18-24,M,WHITE HISPANIC,18-24,F,WHITE,"1,016,276","250,654",40.854612389000074,-73.884232679,POINT (-73.884232679 40.854612389000074)
232264784,08/13/2021,15:50:00,BROOKLYN,83,0,,false,,,,18-24,M,WHITE HISPANIC,"1,009,950","192,049",40.69377781500003,-73.90732424299993,POINT (-73.90732424299993 40.69377781500003)
236877535,11/23/2021,07:21:00,BRONX,47,0,PVT HOUSE,false,25-44,M,BLACK,<18,M,BLACK,"1,024,579","261,426",40.884144183000046,-73.85415390399999,POINT (-73.85415390399999 40.884144183000046)
236105014,10/28/2021,20:44:00,BRONX,40,0,,false,,,,25-44,F,BLACK HISPANIC,"1,010,330","236,424",40.81557473000004,-73.90578180799997,POINT (-73.90578180799997 40.81557473000004)
229643172,06/16/2021,23:22:00,BRONX,52,0,,false,18-24,M,WHITE HISPANIC,25-44,F,BLACK,"1,014,313","254,123",40.864140648000046,-73.89131303799998,POINT (-73.89131303799998 40.864140648000046)
229643179,06/16/2021,23:30:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,F,BLACK,"999,070","193,133",40.69677804900005,-73.94655639599996,POINT (-73.94655639599996 40.69677804900005)
234482340,10/04/2021,11:34:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,"1,009,574","180,396",40.661794060000034,-73.90872392799997,POINT (-73.90872392799997 40.661794060000034)
238344170,12/27/2021,19:03:00,MANHATTAN,24,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK,"994,327","230,100",40.79824984200008,-73.96360558899994,POINT (-73.96360558899994 40.79824984200008)
230508665,07/06/2021,02:49:00,QUEENS,115,0,,false,,,,18-24,M,BLACK HISPANIC,"1,022,300","212,842",40.75080503300006,-73.86267121199995,POINT (-73.86267121199995 40.75080503300006)
233459106,09/10/2021,17:35:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,18-24,M,BLACK,"998,205","190,419",40.68933015300007,-73.94968144799998,POINT (-73.94968144799998 40.68933015300007)
235199581,10/19/2021,14:50:00,QUEENS,103,0,,true,,,,18-24,M,BLACK,"1,040,386","196,504",40.70586500300004,-73.79753162399999,POINT (-73.79753162399999 40.70586500300004)
232592537,08/22/2021,21:37:00,QUEENS,113,0,,false,,,,18-24,M,BLACK,"1,051,532","194,147",40.69931788300004,-73.75735426599994,POINT (-73.75735426599994 40.69931788300004)
234071996,09/25/2021,17:57:00,BRONX,48,0,,false,,,,45-64,F,WHITE HISPANIC,"1,014,154","251,416",40.85671129100007,-73.89189995599996,POINT (-73.89189995599996 40.85671129100007)
224465137,02/16/2021,20:48:00,BRONX,44,0,DEPT STORE,true,45-64,M,BLACK,25-44,M,BLACK,"1,007,961","246,839",40.84416759000004,-73.91430351799994,POINT (-73.91430351799994 40.84416759000004)
231941260,08/07/2021,20:49:00,MANHATTAN,34,0,,false,18-24,M,BLACK,<18,M,BLACK,"1,005,602","254,991",40.866548411000046,-73.92280361099995,POINT (-73.92280361099995 40.866548411000046)
225439056,03/10/2021,22:35:00,MANHATTAN,25,0,,false,<18,M,BLACK,25-44,F,BLACK HISPANIC,"1,000,558","231,080",40.80093037300003,-73.94109824099996,POINT (-73.94109824099996 40.80093037300003)
229161011,06/05/2021,23:53:00,MANHATTAN,14,0,,false,,,,25-44,M,BLACK,"988,081","213,254",40.75201690100005,-73.98617433999993,POINT (-73.98617433999993 40.75201690100005)
229493099,06/11/2021,11:30:00,MANHATTAN,32,0,,false,,,,<18,M,BLACK,"1,000,711","235,993",40.814414915000036,-73.94053357099993,POINT (-73.94053357099993 40.814414915000036)
234369762,10/01/2021,16:53:00,BROOKLYN,72,0,MULTI DWELL - APT BUILD,true,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"982,339","174,880",40.64668984600007,-74.00688786799998,POINT (-74.00688786799998 40.64668984600007)
