lat,lon,price,beds,price_per_bed,price_per_bed_scale
40.854618,-73.86499,1450,1,1450,145
40.830051,-73.852097,2500,2,1250,125
40.830078,-73.852097,1500,1,1500,150
40.840569,-73.858856,1535,1,1535,153.5
40.855331,-73.866379,1675,1,1675,167.5
40.855858,-73.862595,1949,1,1949,194.9
40.855663,-73.863182,2100,2,1050,105
40.857803,-73.908905,1350,1,1350,135
40.856159,-73.86937,1900,1,1900,190
40.856159,-73.86937,2500,2,1250,125
40.856358,-73.86692,2125,2,1063,106.3
40.856304,-73.866348,2500,3,833,83.3
40.85648,-73.866753,2550,3,850,85
40.87532,-73.910233,1950,1,1950,195
40.87532,-73.910233,2400,2,1200,120
40.814877,-73.846703,1900,2,950,95
40.81118,-73.931862,3025,2,1513,151.3
40.81118,-73.931862,2247,1,2247,224.7
40.81118,-73.931862,2580,1,2580,258
40.81118,-73.931862,3388,2,1694,169.4
40.81118,-73.931862,1800,1,1800,180
40.81118,-73.931862,2800,2,1400,140
40.81208,-73.928085,2200,1,2200,220
40.873276,-73.885818,1695,1,1695,169.5
40.854836,-73.892815,2400,3,800,80
40.860275,-73.907578,1495,1,1495,149.5
40.860275,-73.907578,2200,2,1100,110
40.811188,-73.93187,2245,1,2245,224.5
40.811188,-73.93187,1800,1,1800,180
40.811188,-73.93187,2800,2,1400,140
